section_code,section_name,category,item_type,seq,description,quantity,unit,material_amount,labor_amount,total_amount
A,A. งานโครงสร้าง,"Cable 1/2""",detail,1.1,เสาเข็มเจาะ ระบบ dry process ขนาด 0.35 x 21.00 ม. (6 เส้น 12 มม. @0.15),18.0,ต้น,333000.0,0.0,333000.0
A,A. งานโครงสร้าง,"Cable 1/2""",detail,1.2,ค่าสกัดหัวเสาเข็มเจาะ ขนาด 0.35 ม,18.0,ต้น,0.0,6300.0,6300.0
A,A. งานโครงสร้าง,"Cable 1/2""",detail,1.3,Seismic test,18.0,ต้น,5400.0,0.0,5400.0
A,A. งานโครงสร้าง,"Cable 1/2""",detail,1.1,Dynamic test,1.0,ต้้น,28500.0,0.0,28500.0
A,A. งานโครงสร้าง,"Cable 1/2""",detail,1.2,เจาะสำรวจชั้นดินเพื่อรับรองความลึกของเสาเข็ม,1.0,หลุม,6000.0,0.0,6000.0
A,A. งานโครงสร้าง,"Cable 1/2""",detail,1.4,งานขุดดินและถมกลับ,49.0,ลบ.ม.,0.0,6958.0,6958.0
A,A. งานโครงสร้าง,"Cable 1/2""",detail,1.5,ทรายหยาบ,0.6479999999999999,ลบ.ม.,330.47999999999996,67.392,397.87199999999996
A,A. งานโครงสร้าง,"Cable 1/2""",detail,1.6,คอนกรีตหยาบ,0.6479999999999999,ลบ.ม.,1594.0799999999997,276.04799999999994,1870.1279999999997
A,A. งานโครงสร้าง,"Cable 1/2""",detail,1.7,คอนกรีตโครงสร้าง 240 ksc. (Cylinder),44.35,ลบ.ม.,111185.45,18582.65,129768.1
A,A. งานโครงสร้าง,"Cable 1/2""",detail,1.8,งานเหล็กเสริมคอนกรีต,0.0,,0.0,0.0,0.0
A,A. งานโครงสร้าง,"Cable 1/2""",detail,1.3,เหล็กเส้น RB6 ( 0.222 kg/m ) SR24,220.446,กก.,4863.713999999999,969.9624000000001,5833.676399999999
A,A. งานโครงสร้าง,"Cable 1/2""",detail,1.4,เหล็กเส้น RB9 ( 0.499 kg/m ) SR24,828.839,กก.,18111.544,3646.8916000000004,21758.4356
A,A. งานโครงสร้าง,"Cable 1/2""",detail,1.5,เหล็กเส้น DB12 ( 0.888 kg/m ) SD40 (Non-T),276.5232,กก.,6217.100999999999,995.4835199999999,7212.5845199999985
A,A. งานโครงสร้าง,"Cable 1/2""",detail,1.6,เหล็กเส้น DB16 ( 1.58 kg/m ) SD40 (Non-T),2132.052,กก.,47483.41919391635,7675.387200000001,55158.806393916355
A,A. งานโครงสร้าง,"Cable 1/2""",detail,1.7,เหล็กเส้น DB20 ( 2.47 kg/m ) SD40 (Non-T),1726.53,กก.,38452.049525547445,6215.508,44667.55752554745
A,A. งานโครงสร้าง,"Cable 1/2""",detail,1.9,Wire mesh 4 mm. # 0.20 m,184.22,ตร.ม.,5895.04,921.1,6816.14
A,A. งานโครงสร้าง,"Cable 1/2""",detail,1.8,+ steel key 6mm. #0.40 m. /w Epoxy glue,184.22,ตร.ม.,16671.91,4973.94,21645.85
A,A. งานโครงสร้าง,"Cable 1/2""",detail,1.10,ลวดผูกเหล็ก,104.0,กก.,2922.4,0.0,2922.4
A,A. งานโครงสร้าง,"Cable 1/2""",detail,1.11,ไม้แบบทั่วไป อาคารชั้นเดียว (คิด 80%),125.99999999999999,ตร.ม.,36539.99999999999,0.0,36539.99999999999
A,A. งานโครงสร้าง,"Cable 1/2""",detail,1.12,ค่าแรงไม้แบบ,180.0,ตร.ม.,0.0,25020.0,25020.0
A,A. งานโครงสร้าง,"Cable 1/2""",detail,1.13,ไม้คร่าว ยึดไม้แบบ,38.0,ตร.ม.,11020.0,0.0,11020.0
A,A. งานโครงสร้าง,"Cable 1/2""",detail,1.14,ตะปูยึดไม้แบบ,41.0,กก.,1927.0,0.0,1927.0
A,A. งานโครงสร้าง,"Cable 1/2""",detail,1.15,งานทางลาดคอนกรีตภายนอก,0.0,,0.0,0.0,0.0
