section_code,section_name,category,item_type,seq,description,material_amount,labor_amount,total_amount
A,A. งานโครงสร้าง,"Cable 1/2""",summary,1,งานโครงสร้างคอนกรีตเสริมเหล็ก,677957.4677194639,82918.84672000002,760876.3144394638
A,A. งานโครงสร้าง,"Cable 1/2""",summary,2,งานเหล็กรูปพรรณ,563139.0751087199,257028.46,820167.5351087198
A,A. งานโครงสร้าง,"Cable 1/2""",summary,3,งานโครงสร้างไม้ประสานกาว,2649064.481016667,526626.5214758334,3175691.0024924995
A,A. งานโครงสร้าง,"Cable 1/2""",summary,4,อื่นๆ,12532.0,2112.0,14644.0
B,B. งานสถาปัตยกรรม,แผงบังแดดตามตั้ง,summary,1,งานรื้อถอน,0.0,404380.0,404380.0
B,B. งานสถาปัตยกรรม,แผงบังแดดตามตั้ง,summary,2,งานพื้น,458508.3440888889,130074.35,588582.6940888888
B,B. งานสถาปัตยกรรม,แผงบังแดดตามตั้ง,summary,3,งานผนัง,337347.88,190864.19999999998,528212.0800000001
B,B. งานสถาปัตยกรรม,แผงบังแดดตามตั้ง,summary,4,งานฝ้าเพดาน,299468.03,107571.0,407039.03
B,B. งานสถาปัตยกรรม,แผงบังแดดตามตั้ง,summary,5,งานหลังคา,809403.8973262032,116245.2,925649.0973262031
B,B. งานสถาปัตยกรรม,แผงบังแดดตามตั้ง,summary,6,งานประตู หน้าต่าง,1890520.0,14032.0,1904552.0
B,B. งานสถาปัตยกรรม,แผงบังแดดตามตั้ง,summary,7,งานสุขภัณฑ์,181935.2,11965.96,193901.16
B,B. งานสถาปัตยกรรม,แผงบังแดดตามตั้ง,summary,8,งานอื่นๆ,582556.7082,59353.8,641910.5082
C,C. ระบบไฟฟ้าและสื่อสาร,L7,summary,1,ระบบเมนไฟฟ้าเข้าอาคาร,217064.58,18184.534,235249.11399999997
C,C. ระบบไฟฟ้าและสื่อสาร,L7,summary,2,Distribution board and Load Center,83966.11,8847.933,92814.043
C,C. ระบบไฟฟ้าและสื่อสาร,L7,summary,3,Main & Sub Cable Feeder,444058.48400000005,178253.0312,622311.5152
C,C. ระบบไฟฟ้าและสื่อสาร,L7,summary,4,Lighting System,221547.0,42800.0,264347.0
C,C. ระบบไฟฟ้าและสื่อสาร,L7,summary,5,Switch & Receptacle,16459.0,9751.6,26210.6
C,C. ระบบไฟฟ้าและสื่อสาร,L7,summary,6,งานเดินสายและติดตั้งอุปกรณ์ไฟฟ้า,1157240.2320000003,151251.98549999998,1308492.2175000003
C,C. ระบบไฟฟ้าและสื่อสาร,L7,summary,7,Others,202814.05666666667,43111.127,245925.18366666665
D,D. ระบบปรับอากาศระบายอากาศ,ระบบปรับอากาศและระบายอากาศ,summary,1,ระบบปรับอากาศ,0.0,0.0,0.0
E,E. ระบบประปาและสุขาภิบาล,ระบบประปาและสุขาภิบาล,summary,1,งานระบบประปา PVC 13.5,5249.138,3298.0443999999998,8547.1824
E,E. ระบบประปาและสุขาภิบาล,ระบบประปาและสุขาภิบาล,summary,2,งานระบบน้ำทิ้ง/น้ำเสีย/ท่ออากาศ PVC 8.5,12291.579999999998,7989.359999999999,20280.94
E,E. ระบบประปาและสุขาภิบาล,ระบบประปาและสุขาภิบาล,summary,3,โครงสร้างรับงานระบบสุขาภิบาล,8695.802,2718.47,11414.272
FURN,งานครุภัณฑ์,,summary,1,ครุภัณฑ์งานระบบประกอบอาคาร,1805502.0,0.0,1805502.0
SPEC,ค่าใช้จ่ายพิเศษอื่น,,summary,1,ค่าใช้จ่ายพิเศษ,44900.0,235075.0,279975.0
SPEC,ค่าใช้จ่ายพิเศษอื่น,,summary,2,งานทดสอบโครงสร้างไม้,213836.67999999996,185362.61000000002,399199.2899999999
